STATION,LATITUDE,LONGITUDE,STATION_BOTTOM_DEPTH,STRATA,ACTIVE,AREA,NOTES
1039,3801.6,12354.7,3475,C,Y,Point Reyes,NULL
1040,3810,12407,3658,C,Y,Point Reyes,NULL
1041,3818.5,12354.7,2835,C,Y,Point Reyes,NULL
1042,3818.5,12342.4,1463,C,Y,Point Reyes,NULL
1043,3818.5,12330.1,274,C,Y,Point Reyes,NULL
1044,3818.5,12317.8,110,C,Y,Point Reyes,NULL
1045,3801.6,12317.8,119,C,Y,Point Reyes,NULL
1046,3801.6,12305.5,64,C,Y,Point Reyes,NULL
1048,3818.5,12310,83,C,Y,Point Reyes,NULL
1100,3610,12148,498,SC,Y,Point Sur,Added in 2012
1101,3610,122,984,SC,Y,Point Sur,Added in 2012
1102,3610,12212,1289,SC,Y,Point Sur,Added in 2012
1103,3610,12224,1773,SC,Y,Point Sur,Added in 2012
1104,3626,12224,1785,SC,Y,Point Sur,Added in 2012
1105,3626,12212,1041,SC,Y,Point Sur,Added in 2012
1106,3626,122,560,SC,Y,Point Sur,Added in 2012
4001,3331.3,11915.4,985,S,N,San Nicolas,Added in 2004
4002,3324.4,11924.2,963,S,Y,San Nicolas,Added in 2004
4003,3320.2,11932.5,85,S,Y,San Nicolas,Added in 2004
4004,3312.6,11944.3,460,S,Y,San Nicolas,Added in 2004
4005,3326.5,12001.6,976,S,N,San Nicolas,Added in 2004
4006,3332.5,11951.4,330,S,Y,San Nicolas,Added in 2004
4007,3337.8,11941.6,1366,S,Y,San Nicolas,Added in 2004
4008,3344.6,11932.5,1930,S,Y,San Nicolas,Added in 2004
4009,3357.4,12025.5,165,S,N,San Miguel,Added in 2004
4010,3349.3,12033.1,1819,S,Y,San Miguel,Added in 2004
4011,3401.8,12051.6,948,S,Y,San Miguel,Added in 2004
4012,3409.8,12044.6,738,S,Y,San Miguel,Added in 2004
4013,3417.7,12037.5,515,S,N,San Miguel,Added in 2004
4014,3425,12029.6,100,S,N,San Miguel,Added in 2004
4015,3426.8,12044.3,493,S,N,Vandenberg,Added in 2004
4016,3426.8,12057,900,S,N,Vandenberg,Added in 2004
4017,3426.8,12109,1413,S,N,Vandenberg,Added in 2004
4018,3426.8,12121.3,2148,S,N,Vandenberg,Added in 2004
4019,3447.1,12121.3,482,S,N,Vandenberg,Added in 2004
4020,3447.1,12108.9,566,S,N,Vandenberg,Added in 2004
4021,3447.1,12056.6,304,S,N,Vandenberg,Added in 2004
4022,3447.1,12044.5,77,S,N,Vandenberg,Added in 2004
4023,3532.1,12121.8,516,SC,Y,Piedras Blancas,Added in 2004
4024,3532.1,12134.1,848,SC,Y,Piedras Blancas,Added in 2004
4025,3532.1,12146.3,1007,SC,Y,Piedras Blancas,Added in 2004
4026,3532.1,12158.8,1258,SC,N,Piedras Blancas,Added in 2004
4027,3552,12158.8,1353,SC,Y,Piedras Blancas,Added in 2004
4028,3552,12146.4,968,SC,Y,Piedras Blancas,Added in 2004
4029,3552,12134,510,SC,Y,Piedras Blancas,Added in 2004
4030,3818.5,12407.7,3600,C,Y,Point Reyes,Added in 2004
4031,3828,12424,3500,NC,Y,Fort Ross,Added in 2004
4032,3850,12347,111,NC,Y,Navarro,Added in 2004
4033,3850,12404,1805,NC,Y,Navarro,Added in 2004
4034,3850,12420,3300,NC,Y,Navarro,Added in 2004
4035,3850,12437,3500,NC,Y,Navarro,Added in 2004
4036,3930,12402,630,NC,Y,Delgada,Added in 2004
4037,3930,12417,1800,NC,Y,Delgada,Added in 2004
4038,3930,12435,2300,NC,Y,Delgada,Added in 2004
4039,3930,12453,2807,NC,Y,Delgada,Added in 2004
4041,3242.5,11727,582,S,Y,San Diego,Added in 2004
4042,3247.9,11737,1020,S,Y,San Diego,Added in 2004
4043,3254.5,11746.7,1040,S,Y,San Diego,Added in 2004
4044,3306,11752,382,S,N,San Diego,Added in 2004
4045,3308,11742,810,S,Y,San Diego,Added in 2004
4046,3302,11732.3,700,S,Y,San Diego,Added in 2004
4047,3254.4,11723,550,S,Y,San Diego,Added in 2004
4048,3243,11757,520,S,Y,San Clemente,Added in 2004
4049,3233,11757,963,S,Y,San Clemente,Added in 2004
4050,3233,11809,1900,S,Y,San Clemente,Added in 2004
4051,3233,11821,1385,S,Y,San Clemente,Added in 2004
4052,3233,11833,1111,S,Y,San Clemente,Added in 2004
4053,3233,11845,714,S,N,San Clemente,Added in 2004
4054,3233,11857,1203,S,N,San Clemente,Added in 2004
4055,4005,12415.2,160,NC,Y,Delgada,Added in 2004
4056,4005,12428.3,678,NC,Y,Delgada,Added in 2004
4057,4005,12441.3,1000,NC,Y,Delgada,Added in 2004
4058,4005,12454.3,1200,NC,Y,Delgada,Added in 2004
4059,3950,12458,1830,NC,Y,Delgada,Added in 2004
4060,3625,12220,1527,SC,N,Point Sur,Added in 2004
4061,3625,12207,791,SC,N,Point Sur,Added in 2004
4062,3625,12157,95,SC,N,Point Sur,Added in 2004
4063,3452,12044,62,SC,Y,Point Sal,Added in 2006
4064,3452,12053.5,221,SC,Y,Point Sal,Added in 2006
4065,3452,12103,415,SC,Y,Point Sal,Added in 2006
4066,3452,12112.6,564,SC,Y,Point Sal,Added in 2006
4067,3507,12112.6,579,SC,Y,Point Sal,Added in 2006
4068,3507,12103,457,SC,Y,Point Sal,Added in 2006
4069,3507,12053.5,154,SC,Y,Point Sal,Added in 2006
4070,3507,12044,38,SC,Y,Point Sal,Added in 2006
4071,3957.5,12505,1750,NC,N,Delgada,Added in 2004
4072,3957.5,12456.25,1510,NC,N,Delgada,Added in 2004
4073,3940,12449,2550,NC,N,Delgada,Added in 2004
4074,3940,12500,2685,NC,N,Delgada,Added in 2004
4075,3859,12437,3550,NC,N,Navarro,Added in 2004
4076,3908,12450,3250,NC,N,Navarro,Added in 2004
4077,3836,12407,2703,NC,N,Fort Ross,Added in 2004
4078,3918.75,12451.5,3050,NC,N,Navarro,Added in 2004
4079,3839,12437,3602,NC,N,Fort Ross,Added in 2004
4080,3828,12437,3800,NC,N,Fort Ross,Added in 2004
4081,3753,12339.08,2730,C,N,Farallones Outside,Added 6/1/2007
6001,4045,12427,104,N,Y,Trinidad Head,Added in 2013
6002,4045,12439,768,N,Y,Trinidad Head,Added in 2013
6003,4045,12451,2326,N,Y,Trinidad Head,Added in 2013
6004,4045,12503,2704,N,Y,Trinidad Head,Added in 2013
6011,4115,12416,90,N,Y,Flint Rock Head,Added in 2013
6012,4115,12428,643,N,Y,Flint Rock Head,Added in 2013
6013,4115,12440,1145,N,Y,Flint Rock Head,Added in 2013
6014,4115,12452,1241,N,Y,Flint Rock Head,Added in 2013
